OpenTime,Open,High,Low,Close,Volume
2026-03-19 00:00:00,2203.39,2203.62,2202.68,2202.86,139.3777
2026-03-19 00:01:00,2202.87,2203.24,2201.49,2202.12,431.7654
2026-03-19 00:02:00,2202.12,2202.94,2201.9,2202.21,257.5199
2026-03-19 00:03:00,2202.21,2204.19,2202.13,2204.19,150.8724
2026-03-19 00:04:00,2204.18,2208.28,2203.71,2205.54,305.1079
2026-03-19 00:05:00,2205.53,2207.62,2203.94,2205.44,406.9672
2026-03-19 00:06:00,2205.43,2205.44,2202.15,2202.9,421.1346
2026-03-19 00:07:00,2202.9,2206.4,2202.89,2206.29,309.7014
2026-03-19 00:08:00,2206.28,2206.28,2204.43,2204.43,95.3707
2026-03-19 00:09:00,2204.43,2204.43,2201.37,2201.37,209.6159
2026-03-19 00:10:00,2201.37,2201.38,2195.28,2195.84,668.2097
2026-03-19 00:11:00,2195.84,2197.72,2194.18,2197.61,531.0688
2026-03-19 00:12:00,2197.61,2199.33,2197.47,2197.92,102.2367
2026-03-19 00:13:00,2197.91,2199.36,2197.72,2199.35,81.6355
2026-03-19 00:14:00,2199.36,2201.39,2199.35,2201.38,96.5846
2026-03-19 00:15:00,2201.38,2201.93,2201.33,2201.37,92.1402
2026-03-19 00:16:00,2201.37,2201.37,2199.56,2200.17,209.8691
2026-03-19 00:17:00,2200.18,2200.63,2198.53,2198.54,79.2459
2026-03-19 00:18:00,2198.54,2199.95,2198.53,2199.12,64.7832
2026-03-19 00:19:00,2199.13,2200.18,2199.1,2199.49,70.6199
2026-03-19 00:20:00,2199.48,2199.49,2197.47,2197.48,94.9673
2026-03-19 00:21:00,2197.48,2200.18,2197.48,2198.31,156.6703
2026-03-19 00:22:00,2198.31,2198.76,2197.47,2197.47,105.0752
2026-03-19 00:23:00,2197.48,2197.48,2196.48,2196.48,145.5738
2026-03-19 00:24:00,2196.48,2197.29,2196.48,2196.85,143.6546
2026-03-19 00:25:00,2196.85,2197.27,2196.42,2196.72,225.3105
2026-03-19 00:26:00,2196.73,2199.75,2196.73,2198.35,305.2986
2026-03-19 00:27:00,2198.36,2198.6,2198.31,2198.32,94.3405
2026-03-19 00:28:00,2198.32,2203.07,2198.31,2202.19,244.4426
2026-03-19 00:29:00,2202.19,2204.28,2202.18,2203.51,270.7369
2026-03-19 00:30:00,2203.5,2204.22,2202.51,2203.01,335.5537
2026-03-19 00:31:00,2203.01,2203.01,2200.05,2200.75,74.3188
2026-03-19 00:32:00,2200.74,2200.97,2200.06,2200.96,75.7978
2026-03-19 00:33:00,2200.96,2200.96,2196.38,2196.38,166.6736
2026-03-19 00:34:00,2196.39,2196.39,2193.87,2193.94,500.3766
2026-03-19 00:35:00,2193.94,2194.52,2191.35,2194.4,417.2463
2026-03-19 00:36:00,2194.41,2197.57,2194.41,2194.88,474.5449
2026-03-19 00:37:00,2194.89,2196.53,2194.89,2196.41,105.3484
2026-03-19 00:38:00,2196.41,2196.41,2194.15,2194.16,116.2375
2026-03-19 00:39:00,2194.16,2195.16,2194.15,2195.14,144.8629
2026-03-19 00:40:00,2195.14,2195.8,2193.45,2193.75,241.4553
2026-03-19 00:41:00,2193.76,2194.15,2191.68,2192.2,205.7996
2026-03-19 00:42:00,2192.2,2193.73,2192.09,2193.2,114.5985
2026-03-19 00:43:00,2193.2,2193.65,2192.76,2192.88,57.9756
2026-03-19 00:44:00,2192.88,2193.64,2192.63,2192.63,135.2074
2026-03-19 00:45:00,2192.62,2192.86,2191.96,2192.55,127.1113
2026-03-19 00:46:00,2192.55,2194.09,2192.54,2192.77,246.1339
2026-03-19 00:47:00,2192.78,2194.65,2192.53,2194.65,224.0943
2026-03-19 00:48:00,2194.65,2195.73,2194.57,2194.91,374.6748
2026-03-19 00:49:00,2194.91,2194.91,2192.52,2192.53,123.735
2026-03-19 00:50:00,2192.52,2194.27,2192.42,2193.57,105.0551
2026-03-19 00:51:00,2193.57,2193.81,2192.47,2192.75,97.9786
2026-03-19 00:52:00,2192.76,2193.2,2190.86,2191.64,270.5728
2026-03-19 00:53:00,2191.65,2194.64,2191.64,2194.53,149.832
2026-03-19 00:54:00,2194.53,2195.72,2194.24,2194.3,179.9796
2026-03-19 00:55:00,2194.29,2194.29,2192.61,2193.94,205.8577
2026-03-19 00:56:00,2193.94,2193.94,2192.11,2192.9,144.634
2026-03-19 00:57:00,2192.9,2193.37,2192.18,2192.43,135.066
2026-03-19 00:58:00,2192.42,2193.0,2191.81,2192.07,96.9415
2026-03-19 00:59:00,2192.07,2193.94,2192.07,2193.34,68.1665
2026-03-19 01:00:00,2193.33,2196.99,2193.33,2196.45,414.6014
2026-03-19 01:01:00,2196.46,2196.46,2194.9,2195.74,198.2706
2026-03-19 01:02:00,2195.73,2196.97,2195.69,2196.73,226.5597
2026-03-19 01:03:00,2196.73,2196.73,2192.06,2192.98,249.6501
2026-03-19 01:04:00,2192.98,2193.29,2190.86,2191.56,136.9068
2026-03-19 01:05:00,2191.55,2191.76,2188.88,2190.79,600.3385
2026-03-19 01:06:00,2190.8,2194.86,2190.08,2194.8,179.5748
2026-03-19 01:07:00,2194.78,2194.78,2192.98,2194.37,50.3953
2026-03-19 01:08:00,2194.38,2195.36,2193.92,2193.92,115.7869
2026-03-19 01:09:00,2193.91,2193.92,2191.07,2191.07,117.707
2026-03-19 01:10:00,2191.08,2192.3,2191.08,2191.87,82.5366
2026-03-19 01:11:00,2191.87,2192.1,2191.07,2191.85,112.2135
2026-03-19 01:12:00,2191.85,2191.88,2191.07,2191.6,93.742
2026-03-19 01:13:00,2191.59,2191.64,2190.03,2190.34,101.0023
2026-03-19 01:14:00,2190.33,2191.42,2190.33,2191.12,185.9421
2026-03-19 01:15:00,2191.12,2192.4,2191.12,2192.22,147.5466
2026-03-19 01:16:00,2192.21,2193.09,2192.21,2192.68,86.7557
2026-03-19 01:17:00,2192.68,2192.76,2190.47,2192.74,161.2761
2026-03-19 01:18:00,2192.74,2194.02,2192.38,2192.38,88.0371
2026-03-19 01:19:00,2192.39,2192.66,2190.12,2190.46,99.913
2026-03-19 01:20:00,2190.46,2190.88,2189.39,2190.39,170.5788
2026-03-19 01:21:00,2190.39,2191.82,2190.38,2191.55,112.4728
2026-03-19 01:22:00,2191.56,2192.64,2190.62,2190.63,106.5997
2026-03-19 01:23:00,2190.63,2190.63,2187.43,2188.48,750.0364
2026-03-19 01:24:00,2188.48,2189.07,2187.24,2189.06,209.9166
2026-03-19 01:25:00,2189.05,2190.52,2188.85,2189.43,114.0888
2026-03-19 01:26:00,2189.44,2190.52,2188.98,2190.25,68.7684
2026-03-19 01:27:00,2190.25,2192.67,2190.25,2192.03,90.0135
2026-03-19 01:28:00,2192.02,2192.07,2191.43,2192.06,25.971
2026-03-19 01:29:00,2192.07,2193.04,2192.07,2192.66,29.1317
2026-03-19 01:30:00,2192.67,2195.3,2192.5,2194.56,52.069
2026-03-19 01:31:00,2194.56,2194.56,2190.98,2192.7,158.1065
2026-03-19 01:32:00,2192.71,2193.12,2190.82,2191.89,53.6311
2026-03-19 01:33:00,2191.88,2192.85,2191.83,2192.78,23.869
2026-03-19 01:34:00,2192.78,2195.99,2192.63,2195.99,158.2596
2026-03-19 01:35:00,2195.99,2197.36,2195.75,2196.02,280.3367
2026-03-19 01:36:00,2196.01,2196.37,2195.01,2196.37,45.5972
2026-03-19 01:37:00,2196.36,2198.46,2195.4,2198.14,165.8653
2026-03-19 01:38:00,2198.13,2198.57,2195.31,2196.03,265.7996
2026-03-19 01:39:00,2196.03,2198.28,2196.03,2198.16,133.9686
2026-03-19 01:40:00,2198.15,2198.36,2197.59,2198.36,407.6904
2026-03-19 01:41:00,2198.35,2198.35,2196.79,2197.91,386.1258
2026-03-19 01:42:00,2197.92,2201.42,2197.92,2200.64,184.8855
2026-03-19 01:43:00,2200.63,2200.83,2200.02,2200.43,169.5952
2026-03-19 01:44:00,2200.44,2200.44,2198.95,2199.65,229.6567
2026-03-19 01:45:00,2199.66,2200.12,2199.66,2200.12,117.3664
2026-03-19 01:46:00,2200.12,2201.98,2200.0,2201.64,263.8265
2026-03-19 01:47:00,2201.65,2201.93,2200.51,2200.99,233.3259
2026-03-19 01:48:00,2200.99,2201.36,2199.23,2199.67,110.7182
2026-03-19 01:49:00,2199.67,2200.8,2198.68,2200.8,93.8399
2026-03-19 01:50:00,2200.8,2201.02,2198.75,2198.99,138.3269
2026-03-19 01:51:00,2198.98,2199.04,2197.21,2197.22,139.4595
2026-03-19 01:52:00,2197.21,2199.24,2197.21,2199.24,57.7468
2026-03-19 01:53:00,2199.24,2200.17,2199.24,2199.57,64.393
2026-03-19 01:54:00,2199.56,2200.19,2199.38,2200.19,226.6383
2026-03-19 01:55:00,2200.19,2200.68,2199.74,2200.1,110.811
2026-03-19 01:56:00,2200.1,2201.36,2199.9,2199.9,371.0989
2026-03-19 01:57:00,2199.91,2200.81,2199.41,2199.57,81.7849
2026-03-19 01:58:00,2199.56,2199.56,2197.76,2197.76,99.0475
2026-03-19 01:59:00,2197.76,2198.12,2196.74,2196.92,113.0584
2026-03-19 02:00:00,2196.93,2197.14,2194.72,2194.73,130.0749
2026-03-19 02:01:00,2194.72,2194.73,2188.94,2190.54,329.5364
2026-03-19 02:02:00,2190.54,2193.22,2190.54,2193.22,609.8725
2026-03-19 02:03:00,2193.22,2194.46,2193.21,2194.06,54.3691
2026-03-19 02:04:00,2194.05,2194.97,2193.98,2194.11,74.3871
2026-03-19 02:05:00,2194.11,2194.11,2191.82,2191.82,107.5572
2026-03-19 02:06:00,2191.83,2193.95,2191.82,2193.95,73.6991
2026-03-19 02:07:00,2193.95,2200.35,2193.95,2199.99,278.8746
2026-03-19 02:08:00,2199.99,2199.99,2198.6,2199.02,155.1502
2026-03-19 02:09:00,2199.02,2199.02,2197.31,2197.32,68.1
2026-03-19 02:10:00,2197.32,2201.33,2197.32,2201.05,200.1134
