OpenTime,Open,High,Low,Close,Volume
2026-02-09 00:00:00,2089.73,2091.48,2087.81,2090.12,317.5566
2026-02-09 00:01:00,2090.12,2097.0,2089.61,2092.93,807.844
2026-02-09 00:02:00,2092.93,2093.9,2089.51,2090.53,613.4188
2026-02-09 00:03:00,2090.52,2092.4,2088.59,2089.06,661.0013
2026-02-09 00:04:00,2089.06,2093.07,2089.06,2092.59,359.8429
2026-02-09 00:05:00,2092.58,2096.83,2091.01,2096.47,367.0157
2026-02-09 00:06:00,2096.49,2096.49,2092.81,2093.95,311.1303
2026-02-09 00:07:00,2094.0,2094.83,2088.91,2088.91,337.7809
2026-02-09 00:08:00,2088.91,2090.83,2087.36,2089.37,510.5938
2026-02-09 00:09:00,2089.38,2093.45,2089.38,2092.13,258.9961
2026-02-09 00:10:00,2092.13,2092.22,2089.11,2089.11,274.9233
2026-02-09 00:11:00,2089.12,2091.49,2089.05,2089.37,313.6885
2026-02-09 00:12:00,2089.36,2092.78,2086.91,2092.19,291.8028
2026-02-09 00:13:00,2092.19,2093.9,2090.64,2093.32,321.745
2026-02-09 00:14:00,2093.38,2093.99,2091.54,2093.84,253.4518
2026-02-09 00:15:00,2093.81,2095.12,2091.34,2091.74,269.861
2026-02-09 00:16:00,2091.77,2092.6,2083.84,2083.84,1073.4567
2026-02-09 00:17:00,2083.84,2085.89,2082.61,2085.18,526.9149
2026-02-09 00:18:00,2085.19,2090.27,2085.19,2090.15,250.1574
2026-02-09 00:19:00,2090.14,2092.05,2089.86,2090.47,419.7413
2026-02-09 00:20:00,2090.47,2094.02,2090.47,2093.7,436.0224
2026-02-09 00:21:00,2093.7,2095.58,2092.63,2092.67,325.7472
2026-02-09 00:22:00,2092.66,2094.87,2091.41,2091.65,155.9629
2026-02-09 00:23:00,2091.64,2092.92,2091.6,2092.3,106.6257
2026-02-09 00:24:00,2092.29,2095.0,2091.37,2094.56,133.8113
2026-02-09 00:25:00,2094.57,2097.2,2094.57,2096.33,286.5431
2026-02-09 00:26:00,2096.34,2096.36,2088.21,2089.04,586.1335
2026-02-09 00:27:00,2089.03,2089.65,2085.86,2087.67,567.5775
2026-02-09 00:28:00,2087.67,2088.28,2083.4,2084.58,374.2234
2026-02-09 00:29:00,2084.58,2084.92,2080.75,2082.54,730.4288
2026-02-09 00:30:00,2082.55,2083.92,2082.4,2082.81,428.5508
2026-02-09 00:31:00,2082.81,2083.79,2077.15,2083.44,620.4446
2026-02-09 00:32:00,2083.44,2086.87,2082.82,2082.94,232.9869
2026-02-09 00:33:00,2082.94,2086.82,2082.94,2086.57,140.8192
2026-02-09 00:34:00,2086.56,2088.16,2086.49,2087.0,222.1105
2026-02-09 00:35:00,2087.0,2087.84,2084.13,2084.51,365.5419
2026-02-09 00:36:00,2084.5,2084.87,2082.63,2082.74,627.675
2026-02-09 00:37:00,2082.74,2087.66,2082.18,2083.78,1554.189
2026-02-09 00:38:00,2083.78,2085.29,2083.52,2084.09,104.9071
2026-02-09 00:39:00,2084.09,2085.82,2084.07,2084.87,114.6252
2026-02-09 00:40:00,2084.87,2085.22,2079.14,2079.14,233.9927
2026-02-09 00:41:00,2079.15,2084.54,2076.75,2084.15,601.5885
2026-02-09 00:42:00,2084.16,2084.4,2079.03,2079.5,217.0869
2026-02-09 00:43:00,2079.51,2082.01,2078.94,2081.12,193.9785
2026-02-09 00:44:00,2081.12,2081.99,2080.37,2081.84,106.2929
2026-02-09 00:45:00,2081.83,2082.96,2076.33,2079.12,345.6881
2026-02-09 00:46:00,2079.12,2083.73,2078.7,2083.14,326.6938
2026-02-09 00:47:00,2083.14,2084.4,2081.62,2081.9,128.7964
2026-02-09 00:48:00,2081.92,2084.4,2081.92,2083.84,93.1945
2026-02-09 00:49:00,2083.84,2085.5,2082.28,2085.35,175.5798
2026-02-09 00:50:00,2085.34,2086.25,2084.69,2084.78,99.0051
2026-02-09 00:51:00,2084.77,2084.77,2083.14,2083.85,82.1262
2026-02-09 00:52:00,2083.86,2087.75,2083.56,2086.68,313.2523
2026-02-09 00:53:00,2086.67,2086.98,2083.54,2083.7,95.2132
2026-02-09 00:54:00,2083.74,2083.74,2081.14,2081.78,174.3389
2026-02-09 00:55:00,2081.78,2083.57,2081.14,2082.27,160.7422
2026-02-09 00:56:00,2082.28,2084.09,2080.78,2084.09,186.0216
2026-02-09 00:57:00,2084.1,2085.53,2083.38,2083.38,226.9135
2026-02-09 00:58:00,2083.38,2086.22,2083.01,2084.87,469.4756
2026-02-09 00:59:00,2084.88,2086.25,2084.48,2084.48,279.2494
2026-02-09 01:00:00,2084.47,2084.74,2082.16,2083.55,245.1366
2026-02-09 01:01:00,2083.54,2086.5,2082.5,2086.14,182.1949
2026-02-09 01:02:00,2086.15,2090.1,2086.15,2089.7,240.2172
2026-02-09 01:03:00,2089.7,2090.17,2082.38,2086.63,478.899
2026-02-09 01:04:00,2086.63,2088.81,2085.32,2085.59,203.7569
2026-02-09 01:05:00,2085.59,2085.59,2079.88,2079.88,360.5733
2026-02-09 01:06:00,2079.89,2080.2,2078.0,2078.75,343.1303
2026-02-09 01:07:00,2078.76,2080.28,2077.9,2077.93,264.5392
2026-02-09 01:08:00,2077.94,2082.12,2077.24,2080.03,346.3337
2026-02-09 01:09:00,2080.04,2082.71,2079.22,2082.17,218.6632
2026-02-09 01:10:00,2082.16,2082.33,2080.7,2081.0,225.3003
2026-02-09 01:11:00,2081.0,2081.99,2080.06,2080.7,166.4923
2026-02-09 01:12:00,2080.69,2081.17,2079.61,2081.1,108.0243
2026-02-09 01:13:00,2081.09,2083.0,2079.18,2079.18,175.3575
2026-02-09 01:14:00,2079.17,2081.9,2079.17,2081.73,219.3666
2026-02-09 01:15:00,2081.73,2082.97,2079.18,2079.89,121.6234
2026-02-09 01:16:00,2079.89,2083.41,2077.7,2083.41,305.5258
2026-02-09 01:17:00,2083.4,2086.14,2082.79,2086.14,259.6819
2026-02-09 01:18:00,2086.14,2088.73,2085.86,2086.83,250.3626
